state1,state2,interval,type,drainage1,disturbance1,cover_type1,soil1,age1,drainage2,disturbance2,cover_type2,soil2,age2,precip,mean_temp,max_temp,min_temp,id,longitude,latitude
0,0,9,Absent,30,NA,M,1AY,VIN,30,NA,M,1A,VIR,867.0,2.285,8.33,-3.76,8809406701,-77.512547,47.675061
0,0,16,Absent,NA,NA,R,NA,120,NA,NA,R,NA,120,1160.5,-1.32,2.7199999999999998,-5.355,7301102801,0,0
0,0,14,Absent,NA,NA,R,NA,120,40,NA,R,1A,120,1177.5,-0.62,3.54,-4.779999999999999,7301102801,0,0
0,0,16,Absent,NA,NA,R,NA,120,NA,NA,R,NA,120,1149.0,-1.145,2.91,-5.2,7301102802,-57.308128,51.914736
0,0,14,Absent,NA,NA,R,NA,120,40,NA,R,1A,120,1168.0,-0.45,3.7300000000000004,-4.635,7301102802,-57.308128,51.914736
0,0,9,Absent,NA,NA,R,NA,12070,31,NA,NA,1A,NA,938.5,-0.18,5.68,-6.04,9003200602,-76.513266,51.006629
1,1,11,Present,NA,NA,F,NA,70,30,CP,F,8A,50,925.0,2.3,7.25,-2.65,8609100902,-66.062974,48.163666
1,1,6,Present,30,CP,F,8A,50,30,CP,F,8A,JIN,939.0,2.79,7.7,-2.13,8609100902,-66.062974,48.163666
0,0,12,Absent,NA,NA,R,NA,120,NA,NA,R,NA,120,887.0,-2.615,2.77,-8.005,7701203101,-67.234673,51.933343
0,0,12,Absent,NA,NA,R,NA,120,50,NA,R,1A,120,861.0,-2.085,3.295,-7.465,7701203101,-67.234673,51.933343
0,0,9,Absent,NA,NA,R,NA,120,50,NA,R,7T,120,938.5,-0.19,5.675000000000001,-6.05,9003200601,-76.518822,51.0051
0,0,5,Absent,20,NA,R,1AY,10,20,NA,R,1AY,10,1427.0,0.8300000000000001,5.865,-4.21,9609901501,-71.16692,47.279492
0,0,5,Absent,20,NA,R,1AY,10,20,NA,R,1AY,30,1360.0,1.6600000000000001,6.48,-3.165,9609901501,-71.16692,47.279492
0,1,7,Colonization,NA,NA,M,NA,50,NA,NA,M,NA,50,1095.0,2.915,8.915,-3.075,7608902302,-75.282492,46.229994
1,0,12,Extinction,NA,NA,M,NA,50,50,NA,F,1AY,JIN,1050.0,3.675,9.48,-2.125,7608902302,-75.282492,46.229994
0,0,11,Absent,50,NA,F,1AY,JIN,50,NA,NA,7T,NA,1175.5,4.415,9.975,-1.1449999999999998,7608902302,-75.282492,46.229994
0,1,7,Colonization,NA,NA,F,NA,10,NA,NA,M,NA,30,1110.0,2.73,8.71,-3.255,7608902301,-75.282654,46.233986
1,1,12,Present,NA,NA,M,NA,30,30,NA,M,1AY,JIN,1064.5,3.4850000000000003,9.280000000000001,-2.305,7608902301,-75.282654,46.233986
1,1,11,Present,30,NA,M,1AY,JIN,30,NA,F,1AY,JIN,1190.0,4.23,9.780000000000001,-1.3150000000000002,7608902301,-75.282654,46.233986
