"id_plot","yr_measured","lat","lon","ers","drainage","disturbance","cover_type","soil","age_stand","annual_pp","annual_mean_temp","annual_min_temp","annual_max_temp"
7201501101,2003,-58.331365,51.783993,NA,20,NA,"R","1A","120",1074,1.04,-3.08,5.15
7208801601,2003,-78.328801,46.947254,NA,20,NA,"M","1AY","JIN",985,2.89,-2.66,8.44
7209407202,2003,-76.840956,47.286907,NA,30,NA,"R","1AY","50",1024,2.1,-3.76,7.96
7209408102,1993,-75.588203,47.340262,NA,40,NA,"M","1A","10",1077,1.02,-5.06,7.1
7209408502,2003,-76.550739,47.341143,NA,31,NA,"M","1AM","70120",1030,2,-3.92,7.92
7209603102,2003,-77.232045,46.866718,NA,40,NA,"F","1AY","JIN",1035,2.54,-3.16,8.25
7309803102,2006,-75.008152,47.369532,NA,30,NA,"F","1A","VIN",1296,3.62,-1.61,8.85
7409901802,2001,-68.953563,50.731467,NA,40,NA,"R","1AY","70",992,-0.15,-5.03,4.74
7501201001,1996,-76.799837,48.449885,NA,30,NA,"R","1A","70",1008,0.5,-5.4,6.39
7501406301,2010,-79.46631,48.916642,NA,40,NA,"F","4GA","70",740,3.59,-1.61,8.79
7509200402,1993,-77.012657,47.54718,0.131877776412392,30,NA,"F","1AY","VIN",990,1.17,-4.83,7.18
7601500201,1997,-74.848664,46.065928,NA,40,NA,"F","1A","30",1049,3.02,-2.89,8.94
7601600301,1992,-75.533625,45.583327,0.241092888819951,20,NA,"F","1AM","70",1023,4.21,-1.22,9.64
7608200101,1999,-69.383061,48.799559,NA,20,NA,"M","1AM","10",1012,3.58,-1.26,8.42
7608600802,1997,-73.963818,46.370089,NA,20,NA,"R","M1A","70",1012,2.09,-3.99,8.17
7609500801,1997,-72.638637,47.022963,NA,30,NA,"M","1AY","JIN",1011,2.15,-3.7,8
7609511102,2007,-72.13789,47.626161,NA,30,NA,"F","1A","VIN",1132,1.67,-3.85,7.18
8809410901,2007,-72.340209,48.404372,NA,20,NA,"R","9S","50",902,1.79,-3.8,7.39
8809414101,1995,-73.266917,48.989507,NA,20,NA,"R","2BE","50",995,0.82,-5.09,6.73
8809416602,1998,-71.429198,50.029962,NA,30,NA,"R","1AY","30",1111,0.67,-4.6,5.95
8909202001,2003,-70.367125,47.648383,NA,30,NA,"R","1A","30",1194,1.81,-3.31,6.93
8909207001,2005,-64.709196,49.002376,NA,41,NA,"R","8A","JIN",1149,3.3,-1.42,8.03
9003106101,1999,-78.729801,50.650164,NA,40,NA,"R","4GA","120",883,1.42,-4.47,7.31
9003203102,2010,0,0,NA,20,NA,"R","1AY","10",747,2.21,-2.67,7.09
9203002702,1992,-69.168812,47.853151,NA,30,NA,"R","1AY","70",1199,1.69,-2.99,6.37
9203202202,2003,-69.894052,48.542953,NA,41,NA,"M","1A","30",1076,0.8,-3.97,5.57
9203508401,1992,-70.566982,47.782537,NA,40,NA,"M","1AY","30",1301,-0.77,-5.84,4.31
9204201002,2003,-75.986582,46.669067,NA,30,NA,"M","1AY","5030",1078,3.35,-2.66,9.36
9204402201,1992,-74.916786,48.683608,NA,30,NA,"M","1A","70",998,-0.77,-6.83,5.29
9204501901,2007,-75.533434,48.617351,NA,20,NA,"R","1AM","70",926,1.26,-4.47,6.98
9303702301,2003,-69.782298,47.0002,NA,40,NA,"R","1A","10",1195,2.13,-3.57,7.83
9303703701,2003,-70.149247,47.166389,NA,20,NA,"F","1AY","10",1246,1.92,-3.47,7.3
9304901301,2003,-75.99972,47.483351,NA,31,NA,"R","1AY","10",1040,1.61,-4.39,7.61
9305003002,1993,-76.820206,47.796205,NA,20,NA,"F","1AY","70",1002,0.69,-5.32,6.69
9402301701,1994,-76.666644,45.833396,NA,20,NA,"R","2BE","50",852,4.29,-1.64,10.22
9500800802,2007,-71.721786,48.348272,NA,20,NA,"F","1AM","50",961,1.98,-3.44,7.4
9509800901,1995,-64.246638,48.842822,NA,30,NA,"F","5S","50",1186,2.53,-1.94,6.99
9609901401,2006,-71.17445,47.282265,NA,31,NA,"R","1A","30",1518,1.77,-2.86,6.4
9709902801,1997,-71.138347,47.31955,NA,30,NA,"R","3ANY","50",1401,0.08,-5.14,5.31
7000402001,2008,-71.883354,45.29973,NA,30,NA,"R","1A","VIN",1283,5.99,0.6,11.38
7100602101,1992,-70.882515,47.16559,0.281592730513704,30,NA,"F","1AM","JIN",1343,0.56,-4.48,5.6
7100808002,2003,-76.110881,46.168191,0.495531263232352,30,NA,"F","1AY","50",1117,3.9,-1.96,9.75
7100900902,1992,-73.261447,50.28268,NA,30,NA,"R","1A","50",1031,-2.42,-8.2,3.37
7109603302,1992,-76.491037,46.338217,0.503250156382222,30,NA,"F","1AM","120",1079,2.14,-3.85,8.13
